date,su
20150817,538548.28337069
20150818,991983.88353317
20150819,1091513.28503766
20150820,964645.65480785
20150821,893486.38428536
20150822,735886.30750006
20150823,470448.76290484
20150824,1021995.1750169
20150825,1200868.40890996
20150826,1256080.72040339
20150827,1380371.15758195
20150828,1293864.14215856
20150829,1057217.33627589
20150830,1289256.36738233
20150831,1681427.40512084
20150901,264676.4272676
20150902,460057.27183716
20150903,580516.88695418
20150904,618172.79666631
20150905,495187.7013013
20150906,369798.44333703
20150907,582644.79636011
20150908,790903.53294394
20150909,810411.99757254
20150910,774169.2133146
20150911,868014.58454
20150912,689738.47508539
20150913,462930.87097292
20150914,849111.000190817
20150915,1128605.84038892
20150916,1147581.20645344
20150917,979023.23671629
20150918,919111.08390646
20150919,797817.49295056
20150920,604806.03388322
20150921,918284.19460533
20150922,886023.73034134
20150923,732833.56341314
20150924,815731.80302632
20150925,843901.5179018
20150926,1087445.12967206
20150927,647527.99032282
20150928,1413629.3584849
20150929,1889310.93208251
20150930,2551637.19329159
20151001,302658.58415602
20151002,269114.61776533
20151003,338309.12103112
20151004,224303.5686564
20151005,536880.38820984
20151006,720265.8574637
20151007,805064.56086828
20151008,715072.19205314
20151009,610457.65518136
20151010,578682.39271458
20151011,446909.99944932
20151012,550828.30156308
20151013,737566.26321838
20151014,764090.29825056
20151015,738512.54468924
20151016,807781.00218224
20151017,591419.63584552
20151018,480268.56206502
20151019,680451.87551276
20151020,942791.71103244
20151021,898163.03353984
20151022,907801.99851581
20151023,771742.85260366
20151024,782935.741312085
20151025,589967.84446789
20151026,976474.07295836
20151027,1328369.87461828
20151028,1414479.60275974
20151029,1828751.2351462
20151030,1808892.97273444
20151031,1329801.78623463
20151101,170542.247869
20151102,330611.5973025
20151103,535767.0069067
20151104,690461.61575982
20151105,788311.30521716
20151106,639528.55101928
20151107,607814.31521419
20151108,378263.24578707
20151109,668229.00848613
20151110,859084.77498849
20151111,631107.81562533
20151112,838668.33501277
20151113,781229.49748164
20151114,624803.46987939
20151115,418527.56225876
20151116,863271.22458344
20151117,1168060.99029243
20151118,1167306.29768841
20151119,1037335.90098008
20151120,1032977.60233136
20151121,843445.39976375
20151122,490437.17627626
20151123,1083841.96086943
20151124,1249259.00564071
20151125,1368516.15956046
20151126,1486979.02305993
20151127,1425110.22157903
20151128,1345468.36585869
20151129,1019947.90045949
20151130,1770596.15890101
20151201,272678.75171398
20151202,351797.61827296
20151203,625736.29972056
20151204,709514.7399704
20151205,519763.49016796
20151206,310933.92649597
20151207,591889.579634084
20151208,908996.53906162
20151209,892982.83813878
20151210,898761.21759313
20151211,810509.32525425
20151212,798271.402848
20151213,454286.95445893
20151214,739806.042777191
20151215,867945.18959835
20151216,943309.82204845
20151217,986832.82927872
20151218,1021697.32541296
20151219,756584.78411643
20151220,426618.02885072
20151221,1108582.67517125
20151222,1138614.26775721
20151223,1236414.27405248
20151224,890312.55591686
20151225,739964.59284668
20151226,957217.81886678
20151227,836959.22643954
20151228,1215407.89735026
20151229,1531044.62953224
20151230,1595645.44527596
20151231,1335894.2439158
20160101,133015.6460516
20160102,212050.83059938
20160103,129628.46469888
20160104,456760.44798512
20160105,609867.91124102
20160106,757982.1248966
20160107,795961.6665868
20160108,664551.41207548
20160109,592863.57254724
20160110,450947.75930638
20160111,672524.95639292
20160112,772370.17333002
20160113,844869.17311112
20160114,758806.94207306
20160115,822232.916869307
20160116,651445.7779083
20160117,414308.7671133
20160118,873228.79019846
20160119,1064066.06489202
20160120,1036624.32666988
20160121,1061105.90794204
20160122,1073069.45800168
20160123,975513.94639842
20160124,637888.1080364
20160125,1061237.0279669
20160126,883261.33183696
20160127,1441938.92050411
20160128,1353915.79294426
20160129,1474644.66658332
20160130,1442090.47243366
20160131,1193997.0778746
20160201,178207.0374193
20160202,260684.17000486
20160203,562231.9988622
20160204,635003.07044016
20160205,624853.148490877
20160206,583116.30967718
20160207,375839.10310684
20160208,650877.552804394
20160209,736306.27927313
20160210,890105.49915133
20160211,736816.89500159
20160212,763796.1927943
20160213,646200.2634621
20160214,414532.41508116
20160215,892488.75742903
20160216,898385.74053222
20160217,960122.67096124
20160218,943383.44457336
20160219,867688.97660432
20160220,800812.05709062
20160221,338499.52173718
20160222,864095.59509994
20160223,1199882.72630066
20160224,1176801.57134778
20160225,1376752.4963251
20160226,1419912.75351506
